,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
35,0.40300450325012205,0.04968342796391134,0.005692243576049805,0.0010536123215268032,0.001,absolute_error,5,1.0,3,"{'ccp_alpha': 0.001, 'criterion': 'absolute_error', 'max_depth': 5, 'max_features': 1.0, 'min_samples_leaf': 3}",0.6479506238781356,0.5677703956269383,0.6746293225551551,0.6971698461634321,0.6405394627695975,0.6456119301986517,0.043796647534319666,7
36,0.08228974342346192,0.0750985031373223,0.00816359519958496,0.00241521196353892,0.001,absolute_error,6,sqrt,1,"{'ccp_alpha': 0.001, 'criterion': 'absolute_error', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 1}",0.5521718315885578,0.38310123174187083,0.426561470614069,0.5772059660002239,0.5552903386553965,0.49886616772002357,0.07847521199257947,17
37,0.041852712631225586,0.003739059555469882,0.00582590103149414,0.0011835478519875377,0.001,absolute_error,6,sqrt,2,"{'ccp_alpha': 0.001, 'criterion': 'absolute_error', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 2}",0.4820624314808889,0.4972909664111622,0.5460142830710049,0.5266770044391484,0.5917559431555438,0.5287601257115496,0.038578493981468114,14
38,0.04218039512634277,0.003934032555498535,0.005931329727172851,0.0007370737947371999,0.001,absolute_error,6,sqrt,3,"{'ccp_alpha': 0.001, 'criterion': 'absolute_error', 'max_depth': 6, 'max_features': 'sqrt', 'min_samples_leaf': 3}",0.4368995167866493,0.5205296782151314,0.635229606436825,0.6168818541015704,0.49593474268752435,0.5410950796455402,0.07473158824259629,13
39,0.03226847648620605,0.0023289177444637595,0.005034494400024414,0.0008238935237520518,0.001,absolute_error,6,log2,1,"{'ccp_alpha': 0.001, 'criterion': 'absolute_error', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 1}",0.4096420898037171,0.40762071501567343,0.5389591195020877,0.6013077610525074,0.5208246057262773,0.4956708582200526,0.0759203747777964,20
40,0.033413267135620116,0.010564124078719109,0.004775428771972656,0.0008231186670599317,0.001,absolute_error,6,log2,2,"{'ccp_alpha': 0.001, 'criterion': 'absolute_error', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 2}",0.38892316106063096,0.30363181687707075,0.45767249848096414,0.3946243317220811,0.5837558551372427,0.425721532655598,0.09297608945984828,25
41,0.027948617935180664,0.003271106922936822,0.004723978042602539,0.0007166774829168523,0.001,absolute_error,6,log2,3,"{'ccp_alpha': 0.001, 'criterion': 'absolute_error', 'max_depth': 6, 'max_features': 'log2', 'min_samples_leaf': 3}",0.4121705522089193,0.34484508296394956,0.4632010473949314,0.5231590307332727,0.4734623467848028,0.44336761201717517,0.06057338358069272,23
42,0.3891008377075195,0.06352400875916947,0.004498195648193359,0.0009522917668083983,0.001,absolute_error,6,1.0,1,"{'ccp_alpha': 0.001, 'criterion': 'absolute_error', 'max_depth': 6, 'max_features': 1.0, 'min_samples_leaf': 1}",0.6479506238781356,0.5677703956269383,0.6746293225551551,0.7234847046794248,0.6405394627695975,0.6508749019018503,0.050711315556167126,1
43,0.39482531547546384,0.05458324725310735,0.006073808670043946,0.0029301034945882647,0.001,absolute_error,6,1.0,2,"{'ccp_alpha': 0.001, 'criterion': 'absolute_error', 'max_depth': 6, 'max_features': 1.0, 'min_samples_leaf': 2}",0.6479506238781356,0.5677703956269383,0.6746293225551551,0.7234847046794248,0.6405394627695975,0.6508749019018503,0.050711315556167126,1
44,0.3511150360107422,0.04048974389627234,0.0047565937042236325,0.0005373809562014218,0.001,absolute_error,6,1.0,3,"{'ccp_alpha': 0.001, 'criterion': 'absolute_error', 'max_depth': 6, 'max_features': 1.0, 'min_samples_leaf': 3}",0.6479506238781356,0.5677703956269383,0.6746293225551551,0.6971698461634321,0.6405394627695975,0.6456119301986517,0.043796647534319666,7
45,0.03673095703125,0.0015795390498956107,0.004214143753051758,0.00047217157477871477,0.001,absolute_error,7,sqrt,1,"{'ccp_alpha': 0.001, 'criterion': 'absolute_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 1}",0.535074695234923,0.5239322378344792,0.5102437306737075,0.6200851845218397,0.676129356589039,0.5730930409707977,0.06424478013663659,10
46,0.03329634666442871,0.0008087566568977569,0.004345846176147461,0.0003596325762745924,0.001,absolute_error,7,sqrt,2,"{'ccp_alpha': 0.001, 'criterion': 'absolute_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 2}",0.5355606397246224,0.23947813191234113,0.5754002504343692,0.5514039107395653,0.6663280262033349,0.5136341918028465,0.14436018774198647,16
47,0.03221249580383301,0.0030438161124501048,0.003944826126098633,0.00022944219856748413,0.001,absolute_error,7,sqrt,3,"{'ccp_alpha': 0.001, 'criterion': 'absolute_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 3}",0.5326889004431552,0.44187189721579667,0.3502104835246209,0.5097001348067148,0.6503266238371883,0.4969596079654952,0.09952919804995902,18
48,0.02388916015625,0.0011789469343083323,0.0039272308349609375,0.00015107853755722054,0.001,absolute_error,7,log2,1,"{'ccp_alpha': 0.001, 'criterion': 'absolute_error', 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 1}",0.45969741492771143,0.28332267815712464,0.4596633595807731,0.489265176324878,0.5799572830626091,0.4543811824106193,0.0962324536605445,22
49,0.02598991394042969,0.002266464169473975,0.005268764495849609,0.0010717439999314061,0.001,absolute_error,7,log2,2,"{'ccp_alpha': 0.001, 'criterion': 'absolute_error', 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 2}",0.6190992318794346,0.5179007930004225,0.4361221675987139,0.5217042846079034,0.3845359381625345,0.4958724830498018,0.08037821404096779,19
50,0.022522163391113282,0.0018437602099052382,0.004553699493408203,0.000711528102236774,0.001,absolute_error,7,log2,3,"{'ccp_alpha': 0.001, 'criterion': 'absolute_error', 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 3}",0.39869093084480967,0.3389179763146568,0.3953070906228833,0.5020798113237119,0.3927941840085265,0.40555799862291764,0.05305187197167986,26
51,0.43862462043762207,0.036166549323168096,0.005024766921997071,0.0007037297384678425,0.001,absolute_error,7,1.0,1,"{'ccp_alpha': 0.001, 'criterion': 'absolute_error', 'max_depth': 7, 'max_features': 1.0, 'min_samples_leaf': 1}",0.6479506238781356,0.5677703956269383,0.6746293225551551,0.7234847046794248,0.6405394627695975,0.6508749019018503,0.050711315556167126,1
52,0.495543909072876,0.15059807754749893,0.005823373794555664,0.0023360171690702414,0.001,absolute_error,7,1.0,2,"{'ccp_alpha': 0.001, 'criterion': 'absolute_error', 'max_depth': 7, 'max_features': 1.0, 'min_samples_leaf': 2}",0.6479506238781356,0.5677703956269383,0.6746293225551551,0.7234847046794248,0.6405394627695975,0.6508749019018503,0.050711315556167126,1
53,0.3491088390350342,0.04274909576950278,0.00502324104309082,0.0009867493074979616,0.001,absolute_error,7,1.0,3,"{'ccp_alpha': 0.001, 'criterion': 'absolute_error', 'max_depth': 7, 'max_features': 1.0, 'min_samples_leaf': 3}",0.6479506238781356,0.5677703956269383,0.6746293225551551,0.6971698461634321,0.6405394627695975,0.6456119301986517,0.043796647534319666,7
